productinfo_id,ProductName,Brand,BrandDictionary_Id,OriginalPlace,DisplayCategoryName,image_id,image_name,image_format,image_size,image_url
2695,十八酒坊陶藏8年38.8度480ml,十八酒坊,3602,衡水,白酒-区域名酒,17618,5002390193953909760.jpg,jpg,88738,http://yjp-product.ufile.ucloud.cn/Product/2017/11/b4a4c9597301423f8b5723b3d85ec5a2.jpg
2704,十八酒坊红宝石42度500ml,十八酒坊,3602,衡水,白酒-区域名酒,17627,5370318317457311581.jpg,jpg,74594,http://yjp-product.ufile.ucloud.cn/Product/2017/11/c8f27c062aec4c33b99e745643a46384.jpg
2705,五粮液55度500ml,五粮液,3555,四川,白酒-全国名酒,46539,4703343183849651400.jpg,jpg,48247,http://yjp-product.ufile.ucloud.cn/Product/2017/11/bd539f173c0d43c49768fe83204f73f0.jpg
2706,赊店老酒清青花52度500ml（1*6）,赊店,3627,河南,白酒-区域名酒,8635681,fa338d757ad14a9c92fd18ac01e1ab1f.jpg,jpg,19371,http://yjp-product.ufile.ucloud.com.cn/Product/2019/07/116fff18404b46858beab08a79a34eae.jpg
2710,三星贵宾郎50度500ml,郎酒,3534,1,白酒-全国名酒,17633,5492160922662171861.jpg,jpg,79785,http://yjp-product.ufile.ucloud.cn/Product/2017/11/3ed4c121c5514630815b878d362c4ac7.jpg
2711,郎酒迎宾郎45度110ml,郎酒,3534,,白酒-全国名酒,17634,5323014787315997378.jpg,jpg,65005,http://yjp-product.ufile.ucloud.cn/Product/2017/11/dc066cce0d7749f0847c03920b27e92c.jpg
2712,黄山头老窖王52度500ml,黄山头,3816,湖北,白酒-区域名酒,17635,4991449890101227494.jpg,jpg,73028,http://yjp-product.ufile.ucloud.cn/Product/2017/11/ef544c3c821d4491b33cbd0a198ae0e2.jpg
2713,西凤酒宝花瓷52度500ml,西凤,3542,陕西,白酒-区域名酒,17636,4945242798158974809.jpg,jpg,84849,http://yjp-product.ufile.ucloud.cn/Product/2017/11/fbed9cdc19d14e82bd524b0268fe9322.jpg
2714,武陵少酱53度500ml,武陵,3817,江西,白酒-区域名酒,17637,5020415585832547719.jpg,jpg,85126,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8a6614ed65b547838bfce348ae593d0a.jpg
2717,习酒金品53度500ml,习酒,3609,贵州,白酒-区域名酒,17640,5584623616785042814.jpg,jpg,73755,http://yjp-product.ufile.ucloud.cn/Product/2017/11/7296245ca0ce4e15bf1ff30fef5c3c79.jpg
2720,高炉和谐家10年42.6度420ml（含经销商赠品等政策）,高炉家,3603,安徽,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17643,4875118437890325960.jpg,jpg,72467,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8a841891270444c285fa76f0708dbdf3.jpg
2721,泸州一品坊一品醉38度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17644,4860977713171614310.jpg,jpg,53318,http://yjp-product.ufile.ucloud.cn/Product/2017/11/be06a5b00580465695d03988b788ed1f.jpg
2722,泸州一品坊一品醉52度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17645,5384321578799473229.jpg,jpg,53318,http://yjp-product.ufile.ucloud.cn/Product/2017/11/f3e7cb2779bb4268aa5f17e7e9a95831.jpg
2723,泸州一品坊和之礼42度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17646,5186588968265060628.jpg,jpg,86019,http://yjp-product.ufile.ucloud.cn/Product/2017/11/ba0c23592cbe4c37856ade2aaa4be9f6.jpg
2724,泸州一品坊和之礼52度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17647,5046568242935359878.jpg,jpg,86019,http://yjp-product.ufile.ucloud.cn/Product/2017/11/5d091f32052447509a48d1251d8cb9fb.jpg
2725,泸州一品坊五岳辞38度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17648,5526087019915438915.jpg,jpg,51000,http://yjp-product.ufile.ucloud.cn/Product/2017/11/64ab8bb498cb434d8854c5efc1861418.jpg
2726,泸州一品坊五岳辞52度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17649,5022329503218240468.jpg,jpg,51000,http://yjp-product.ufile.ucloud.cn/Product/2017/11/2923999a1dd540eaa6ecd3b80b617a10.jpg
